Domain Name,.com,.net,.org,.info,.shop,.store,.company,.agency
google,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
amazon,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
facebook,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
apple,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
netflix,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
zoom,TAKEN,TAKEN,TAKEN,TAKEN,RESTRICTED/PREMIUM,TAKEN,TAKEN,TAKEN
paypal,TAKEN,TAKEN,TAKEN,TAKEN,RESTRICTED/PREMIUM,TAKEN,TAKEN,TAKEN
spotify,TAKEN,TAKEN,TAKEN,TAKEN,RESTRICTED/PREMIUM,TAKEN,TAKEN,TAKEN
uber,TAKEN,TAKEN,TAKEN,TAKEN,POSSIBLY AVAILABLE,TAKEN,TAKEN,TAKEN
instagram,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
techverse,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
foodify,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,AVAILABLE,TAKEN,TAKEN
travelgen,TAKEN,TAKEN,AVAILABLE,TAKEN,AVAILABLE,AVAILABLE,TAKEN,TAKEN
mediabox,TAKEN,TAKEN,TAKEN,TAKEN,AVAILABLE,TAKEN,TAKEN,TAKEN
learnhub,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
fitpulse,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
shopifyx,TAKEN,AVAILABLE,AVAILABLE,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
trendora,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
codepath,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
dreamsync,TAKEN,TAKEN,TAKEN,TAKEN,AVAILABLE,TAKEN,TAKEN,TAKEN
nexora,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
bluzen,TAKEN,AVAILABLE,TAKEN,TAKEN,AVAILABLE,TAKEN,TAKEN,TAKEN
quantivo,TAKEN,TAKEN,TAKEN,TAKEN,RESTRICTED/PREMIUM,TAKEN,TAKEN,TAKEN
vibraze,TAKEN,AVAILABLE,AVAILABLE,TAKEN,AVAILABLE,TAKEN,TAKEN,TAKEN
solith,TAKEN,AVAILABLE,AVAILABLE,TAKEN,AVAILABLE,TAKEN,TAKEN,TAKEN
aeronix,TAKEN,TAKEN,TAKEN,TAKEN,AVAILABLE,TAKEN,TAKEN,TAKEN
clovix,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN
zenquill,TAKEN,AVAILABLE,AVAILABLE,TAKEN,AVAILABLE,AVAILABLE,TAKEN,TAKEN
flarion,TAKEN,TAKEN,TAKEN,TAKEN,TAKEN,AVAILABLE,TAKEN,TAKEN
trumigo,TAKEN,AVAILABLE,AVAILABLE,TAKEN,AVAILABLE,AVAILABLE,TAKEN,TAKEN
